City A,City B,Time by train,Distance by train,Time by car,Distance by car
Munich,Vienna,4:15,485,4:50,440
Vienna,Munich,4:15,485,4:50,440
Munich,Frankfurt,3:30,494,4:20,426
Frankfurt,Munich,3:30,494,4:20,426
Munich,Milan,6:10,504,4:45,450
Milan,Munich,6:10,504,4:45,450
Napoles,Rome,1:10,218,2:45,230
Rome,Napoles,1:10,218,2:45,230
Napoles,Catania,6:20,310,4:52,300
Catania,Napoles,6:20,310,4:52,300
Nice,Milan,3:40,255,3:30,250
Milan,Nice,3:40,255,3:30,250
Nice,Marseille,2:53,180,2:30,170
Marseille,Nice,2:53,180,2:30,170
Oslo,Stockholm,5:30,520,6:15,580
Stockholm,Oslo,5:30,520,6:15,580
Oslo,Bergen,7:15,519,6:45,500
Bergen,Oslo,7:15,519,6:45,500
Oslo,Copenhagen,7:45,570,8:30,600
Copenhagen,Oslo,7:45,570,8:30,600
Östersund,Stockholm,5:50,422,4:30,420
Stockholm,Östersund,5:50,422,4:30,420
Östersund,Trondheim,4:45,370,3:50,400
Trondheim,Östersund,4:45,370,3:50,400
Paris,Bordeaux,2:04,516,5:50,580
Bordeaux,Paris,2:04,516,5:50,580
Paris,Lyon,2:00,490,2:44,480
Lyon,Paris,2:00,490,2:44,480
Paris,Frankfurt,3:07,580,6:22,580
Frankfurt,Paris,3:07,580,6:22,580
Paris,Rennes,2:05,350,3:20,260
Rennes,Paris,2:05,350,3:20,260
Paris,Brussels,1:22,304,3:25,310
Brussels,Paris,1:22,304,3:25,310
Paris,London,2:15,346,5:30,460
London,Paris,2:15,346,5:30,460
Prague,Munich,5:20,407,4:40,400
Munich,Prague,5:20,407,4:40,400
Prague,Vienna,4:50,357,4:20,350
Vienna,Prague,4:50,357,4:20,350
Prague,Wroclaw,5:24,334,4:10,330
Wroclaw,Prague,5:24,334,4:10,330
Riga,Vilnius,4:20,308,3:20,300
Vilnius,Riga,4:20,308,3:20,300
Riga,Tallinn,5:50,342,4:30,330
Tallinn,Riga,5:50,342,4:30,330
Rome,Florence,1:25,276,3:45,280
Florence,Rome,1:25,276,3:45,280
Sevilla,Faro,5:10,274,3:50,300
Faro,Sevilla,5:10,274,3:50,300
Skopje,Thessaloniki,6:20,246,2:30,220
Thessaloniki,Skopje,6:20,246,2:30,220
Sofia,Bucharest,7:40,487,5:40,410
Bucharest,Sofia,7:40,487,5:40,410
Sofia,Skopje,4:50,264,3:25,250
Skopje,Sofia,4:50,264,3:25,250
Sofia,Thessaloniki,5:50,365,4:30,350
Thessaloniki,Sofia,5:50,365,4:30,350
Sofia,Istanbul,11:40,789,6:30,530
Istanbul,Sofia,11:40,789,6:30,530
Split,Zagreb,6:40,418,4:20,380
Zagreb,Split,6:40,418,4:20,380
Stockholm,Tallinn,3:30,310,5:50,390
Tallinn,Stockholm,3:30,310,5:50,390
Venice,Vienna,5:50,452,4:50,450
Vienna,Venice,5:50,452,4:50,450
Venice,Ljubljana,2:45,165,2:15,150
Ljubljana,Venice,2:45,165,2:15,150
Venice,Milan,2:20,256,2:45,270
Milan,Venice,2:20,256,2:45,270
Venice,Florence,2:30,285,3:15,270
Florence,Venice,2:30,285,3:15,270
Warsaw,Poznan,2:40,309,3:30,290
Poznan,Warsaw,2:40,309,3:30,290
Warsaw,Wroclaw,4:40,383,4:20,360
Wroclaw,Warsaw,4:40,383,4:20,360
Warsaw,Vienna,9:10,625,6:40,600
Vienna,Warsaw,9:10,625,6:40,600
Warsaw,Krakow,3:20,239,2:30,230
Krakow,Warsaw,3:20,239,2:30,230
Warsaw,Gdansk,4:50,321,4:30,330
Gdansk,Warsaw,4:50,321,4:30,330
Warsaw,Bialystok,3:20,214,2:15,200
Bialystok,Warsaw,3:20,214,2:15,200
Westport,Dublin,3:30,234,2:55,236
Dublin,Westport,3:30,234,2:55,236
